Date,New NAF,Unlink NAF,Link Change NAF,Label Change NAF,New LCSH,Unlink LCSH,Link Change LCSH,Label Change LCSH
2019-10-17,170,5,14,42,4,0,0,18
2019-10-18,165,1,11,32,1,0,0,8
2019-10-25,167,0,2,25,0,0,1,9
2019-10-29,501,1,30,128,15,0,2,23
2019-10-31,338,8,13,116,5,0,1,14
2019-11-03,214,2,35,54,47,1,7,14
2019-11-04,108,2,8,27,39,1,3,5
2019-11-06,359,3,49,53,17,1,3,7
2019-11-08,251,2,17,51,35,0,3,18
2019-11-10,236,2,22,52,38,0,3,14
2019-11-11,162,2,10,18,3,0,1,19
2019-11-13,251,1,18,79,13,0,0,35
2019-11-15,281,7,16,98,40,1,4,18
2019-11-17,281,7,21,62,36,1,4,30
2019-11-18,157,7,6,39,18,0,2,15
2019-11-20,423,3,21,61,12,1,0,13
2019-11-21,197,4,11,47,4146,1,1,10
2019-11-22,124,55,2,30,1,13,1,5
2019-11-24,327,5,14,48,5,5,1,11
2019-11-25,153,2,13,22,9,0,0,16
2019-11-27,187,1,17,74,9,0,2,11
2019-11-29,162,4,16,56,23,0,0,15
2019-12-01,189,4,16,50,10,2,1,8
2019-12-02,77,0,8,19,12,2,2,7
2019-12-04,338,9,24,158,32,120,9,15
2019-12-06,192,1,27,59,14,1,3,15
2019-12-08,172,3,15,58,29,0,3,21
2019-12-09,53,0,5,28,25,2,3,16
2019-12-11,3354,2,44,36,6,2,1,32
2019-12-13,171,4,50,61,9,0,2,15
2019-12-15,146,0,17,54,11,1,2,11
2019-12-16,68,3,21,26,9,0,2,5
2019-12-18,444,0,15,65,20,2,3,9
2019-12-20,185,4,45,50,1308,0,2,6
2019-12-22,137,3,11,40,199,0,3,10
2019-12-23,86,4,6,26,7,0,1,5
2019-12-25,218,1,10,35,5,0,2,5
2019-12-27,339,3,6,53,4,0,1,14
2019-12-29,274,4,7,51,10,0,0,12
2019-12-30,72,3,7,26,4,0,0,2
2020-01-01,193,5,14,32,2,0,2,5
2020-01-03,153,1,6,58,7,0,1,10
2020-01-05,154,3,16,56,2,1,2,14
2020-01-06,52,1,5,27,1,0,0,5
2020-01-08,229,3,11,74,1,6,0,12
2020-01-10,203,41,20,57,5,1,0,16
2020-01-12,136,6,50,672,7,0,3,18
2020-01-13,56,3,2,32,1,0,0,9
2020-01-15,347,60,14,59,2,0,2,19
2020-01-17,190,33,15,67,17,0,0,17
2020-01-19,194,22,7,70,21,0,0,17
2020-01-20,78,1,14,28,1,0,0,4
2020-01-22,152,5,14,629,4,1,1,17
2020-01-24,164,8,23,61,1,0,1,21
2020-01-26,135,13,10,53,9,0,0,14
2020-01-27,47,2,4,19,0,0,0,5
2020-01-29,150,0,18,73,4,2,1,18
2020-01-31,151,0,38,87,2,1,0,19
2020-02-02,163,1,21,57,5,1,2,13
2020-02-03,56,2,8,30,1,0,2,9
2020-02-05,250,1,9,156,20,0,2,21
2020-02-07,201,3,19,67,9,0,3,20
2020-02-09,255,5,5,85,1,0,1,13
2020-02-10,71,1,6,134,3,0,3,18
2020-02-12,236,8,17,69,1,0,1,22
2020-02-14,160,7,15,64,1,0,3,24
2020-02-16,830,8,13,56,7,1,0,12
2020-02-17,74,1,7,35,2,1,1,8
2020-02-21,1195,7,31,97,7,1,3,26
2020-02-23,566,2,34,57,4,0,0,16
2020-02-24,76,2,2,38,3,0,0,11
2020-02-26,292,11,49,58,5,3,1,14
2020-02-28,145,5,56,54,6,3,3,12
2020-03-01,162,2,16,55,2,0,1,8
2020-03-02,71,2,4,41,1,0,0,4
2020-03-04,251,9,10,144,6,1,0,10
2020-03-06,220,57,10,68,2,3,0,18
2020-03-08,157,3,29,66,1,0,1,17
2020-03-09,104,3,5,34,0,1,0,6
2020-03-11,989,7,11,59,6,0,2,8
2020-03-13,187,3,14,56,6,0,1,15
2020-03-15,162,2,11,60,6,1,2,18
2020-03-16,48,2,6,26,1,0,0,7
2020-03-18,229,1,12,63,5,1,1,9
2020-03-20,182,3,11,68,2,0,2,13
2020-03-22,170,1,23,83,2,0,1,11
2020-03-23,99,2,6,29,2,0,1,12
2020-03-25,291,4,18,65,0,0,2,15
2020-03-27,335,5,21,105,3,1,1,8
2020-03-29,169,4,14,76,5,3,2,15
2020-03-30,86,3,4,30,1,0,2,9
2020-04-01,281,3,22,144,1,1,1,14
2020-04-03,182,8,18,57,8,2,1,13
2020-04-05,255,8,21,69,7,0,3,12
2020-04-06,85,3,11,31,1,0,0,5
2020-04-08,281,7,16,70,5,2,4,26
2020-04-10,174,5,21,94,0,0,3,21
2020-04-12,250,9,13,67,3,0,3,16
2020-04-13,75,5,12,34,3,1,0,13
2020-04-15,246,10,31,96,2,2,2,16
2020-04-17,245,9,16,133,2,0,2,12
2020-04-19,179,6,24,142,2,0,2,20
2020-04-20,69,3,8,42,3,0,0,8
2020-04-22,247,3,18,94,3,3,0,25
2020-04-24,167,4,13,105,5,1,2,15
2020-04-26,187,1,21,96,1,0,1,17
2020-04-27,61,4,11,45,0,0,0,6
2020-04-29,241,9,18,99,3,0,2,19
2020-05-01,205,5,15,75,4,0,0,23
2020-05-03,225,4,22,79,2,0,3,26
2020-05-04,100,2,14,39,0,0,1,22
2020-05-06,2789,3,21,164,1,0,1,45
2020-05-08,4038,10,73,89,0,0,1,32
2020-05-10,190,7,42,91,2,1,1,17
2020-05-11,83,1,13,77,1,0,0,8
2020-05-13,5263,3,27,89,1,1,0,12
2020-05-17,15956,3,33,71,1,0,2,17
2020-05-18,15060,3,6,44,2,1,1,8
2020-05-20,3355,10,23,100,0,0,1,15
2020-05-22,221,7,16,87,2,0,1,13
2020-05-24,186,5,23,89,1,0,2,20
2020-05-25,143,4,9,33,1,0,2,8
2020-05-27,200,6,7,137,8,0,2,12
2020-05-29,185,3,12,89,4,0,1,17
2020-05-31,155,5,15,82,1,0,3,18
2020-06-01,53,3,19,36,0,1,1,11
2020-06-03,292,3,13,78,1,1,0,16
2020-06-05,184,8,37,87,0,1,2,15
2020-06-07,268,2,21,102,6,0,1,19
2020-06-10,301,9,31,102,4,0,0,25
2020-06-12,257,8,38,97,9,1,1,19
2020-06-14,420,6,46,103,2,0,1,21
2020-06-15,181,2,8,43,0,0,0,12
2020-06-17,528,4,29,99,4,1,0,20
2020-06-19,219,6,28,70,5,1,0,9
2020-06-21,168,11,13,64,2,1,0,10
2020-06-22,76,1,8,31,1,0,0,16
2020-06-24,159,7,30,70,3,0,2,18
2020-06-26,191,3,24,85,6,1,2,25
2020-06-28,153,6,8,88,15,1,3,6
2020-06-29,65,3,8,40,3,0,1,3
2020-07-01,185,6,22,71,2,0,0,18
2020-07-03,203,6,27,74,1,0,0,19
2020-07-05,243,0,39,60,1,0,0,11
2020-07-06,116,7,5,36,4,0,0,4
2020-07-08,183,8,17,87,10,0,1,16
2020-07-10,1332,5,13,88,5,0,1,20
2020-07-12,161,5,32,81,18,0,1,12
2020-07-13,136,2,20,46,0,0,0,7
2020-07-15,228,1,244,99,1,1,4,11
2020-07-17,200,4,12,74,19,0,2,13
2020-07-19,199,4,78,85,8,0,2,10
2020-07-20,110,4,13,30,5,0,0,2
2020-07-22,198,4,16,69,4,0,0,12
2020-07-24,185,3,8,89,5,0,0,16
2020-07-26,193,3,16,273,9,1,3,17
2020-07-27,99,2,11,142,5,0,1,8
2020-07-29,199,2,15,131,26,2,2,7
2020-07-31,182,3,14,120,11,0,0,9
2020-08-02,210,5,13,115,25,1,1,16
2020-08-03,109,2,4,44,10,1,1,12
2020-08-05,191,1,18,89,12,1,1,25
2020-08-07,186,7,14,125,14,0,1,17
2020-08-09,176,4,16,50,3,0,3,10
2020-08-10,60,2,4,38,1,0,0,10
2020-08-12,169,2,15,115,12,3,1,11
2020-08-14,156,4,13,55,14,5,5,19
2020-08-16,229,1,11,65,1,2,1,10
2020-08-17,108,4,8,33,7,0,1,4
2020-08-19,163,6,20,84,22,0,1,15
2020-08-21,220,4,17,106,9,1,2,10
2020-08-23,173,9,11,108,4,0,2,11
2020-08-24,97,1,7,61,1,1,1,12
2020-08-26,7570,7,11,65,32,0,0,10
2020-08-28,345,9,30,79,6,0,2,10
2020-08-31,512,8,22,119,8,0,1,16
2020-09-02,394,10,20,97,16,1,2,15
2020-09-04,331,8,19,106,11,0,3,11
2020-09-06,366,5,14,78,8,1,1,13
2020-09-07,138,2,7,30,2,0,2,15
2020-09-09,311,10,27,78,3,2,2,42
2020-09-11,348,4,42,90,10,0,1,7
2020-09-13,326,6,16,61,8,0,0,13
2020-09-14,233,4,11,31,2,0,0,9
2020-09-16,316,5,17,114,6,0,4,15
2020-09-18,390,7,24,81,24,1,1,14
2020-09-20,305,3,21,59,7,0,1,16
2020-09-22,327,2,19,83,25,0,0,174
2020-09-24,387,10,19,86,29,1,0,29
2020-09-29,27,2,2,12,2,0,0,6
2020-09-30,212,2,9,39,2,0,0,4
2020-10-02,275,2,15,84,8,2,1,24
2020-10-04,222,3,18,63,7,1,1,10
2020-10-05,115,0,3,36,6,1,3,3
2020-10-07,286,0,18,65,11,0,0,15
2020-10-09,337,14,27,66,8,0,3,11
2020-10-11,282,6,18,57,24,2,1,11
2020-10-12,148,7,6,40,1,0,1,9
2020-10-14,303,9,19,61,18,2,3,17
2020-10-16,294,17,22,68,18,0,3,16
2020-10-18,386,7,15,79,20,0,3,15
2020-10-19,138,8,23,30,5,0,1,7
2020-10-21,279,6,107,99,9,0,0,17
2020-10-23,360,11,12,93,11,0,3,18
2020-10-25,379,13,12,66,7,1,1,11
2020-10-26,158,11,7,40,13,0,0,8
2020-10-28,253,10,20,66,13,1,2,24
2020-10-30,229,10,19,85,24,1,1,46
2020-11-01,292,5,16,77,17,1,2,22
2020-11-02,164,5,13,42,6,0,2,14
2020-11-04,263,6,11,81,15,3,0,29
2020-11-06,321,14,12,81,10,1,7,12
2020-11-08,271,9,6,97,5,1,4,13
2020-11-09,173,7,9,31,3,0,2,10
2020-11-11,243,4,8,68,23,1,1,15
2020-11-13,257,6,12,64,16,0,0,9
2020-11-15,215,2,15,75,37,2,4,15
2020-11-16,138,7,11,51,8,2,1,11
2020-11-18,384,7,27,88,9,1,4,16
2020-11-20,366,7,17,88,6,0,0,29
2020-11-22,338,10,24,72,7,0,2,13
